,question,feedback type,pre-feedback,post-feedback
0,1,No Feedback,happy,"['happy', 'happy', 'angry']"
1,1,bald,angry,"[[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 7.060370577183189e-24, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.9999998807907104, 1.3019122491186863e-07, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 4.414002190557091e-14, 1.0, 0.0, 0.0, 4.961249568794228e-38], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 1.9977119958269896e-09, 0.0, 0.0, 2.0706890029017522e-17], [0.0, 0.0, 1.23125878473058e-25, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 2.9663383211229492e-33, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.9942913055419922, 0.005708727054297924, 0.0, 0.0, 0.0], [0.0, 0.0, 1.7196327123637454e-22, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.741343477070833e-30, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.999997615814209, 2.4299556571349967e-06, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 8.179413843624322e-36, 1.0, 0.0, 0.0, 0.0]]"
2,1,positive_politeness,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",[]
3,2,No Feedback,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [4.8486114738359326e-17, 0.0, 0.0, 1.0, 5.680833137233776e-09, 0.0, 2.2138388453159388e-36], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [9.998342046769894e-27, 0.0, 0.0, 1.0, 0.0, 0.0, 8.07193600849132e-09], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 6.6786396427315556e-15, 0.0, 0.0, 0.0, 0.0], [2.9725052286266873e-07, 0.0, 5.050186935459502e-25, 5.3738032815107964e-33, 3.766419669632129e-32, 4.934718866173027e-12, 0.9999997615814209], [0.0, 0.0, 0.9857069849967957, 0.0, 0.0, 0.0, 0.014293001033365726], [0.0, 0.0, 1.0, 0.0, 0.0, 4.473120096548655e-09, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]]"
4,2,bald,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[[5.5485765162750234e-33, 0.0, 1.0, 2.8807825361922415e-33, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [5.377325884513551e-35, 0.0, 1.0, 0.0, 0.0, 4.0300466190803877e-26, 3.8439859133338855e-34], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.7013256549835205, 0.0, 0.0, 0.0, 0.2986743152141571], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 1.7706047131943459e-12, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]]"
5,2,positive_politeness,happy,"['happy', 'happy', 'angry']"
6,2,No Feedback,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 3.6376323426781744e-36, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]"
7,4,bald,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 3.300590703525508e-11, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 5.4227032707296314e-21, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 4.0589202399132773e-07, 0.0, 0.0, 0.0, 0.9999996423721313], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 9.123651583739016e-20, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.9974746108055115, 0.0, 0.0025254308711737394, 1.0360702096604002e-12, 0.0, 4.142793023215145e-26, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 2.0503681272521353e-19, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]]"
8,4,positive_politeness,"[0.0, 0.0, 1.0, 0.0, 2.075875608360635e-26, 0.0, 0.0]","[[0.0, 0.0, 1.0, 0.0, 1.9527915757499074e-19, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 4.4984392378888346e-23, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 9.912602967122612e-32, 0.0, 0.0], [0.0, 0.0, 0.8025131821632385, 0.1974867582321167, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 5.852057543677168e-28, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 1.1395382653703613e-37, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 1.959932567816941e-20, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 3.8549316906120405e-31, 0.0, 0.0, 0.0], [7.837406938715485e-12, 0.0, 1.0, 0.0, 9.978805559640591e-10, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [6.477849851421037e-31, 0.0, 2.5068938591172985e-30, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [1.0960122752603646e-29, 0.0, 1.0385017248986796e-32, 0.8472133278846741, 0.15278670191764832, 7.0598013694848865e-31, 0.0], [3.6106789425603056e-18, 0.0, 3.6958376847149374e-26, 1.0, 8.575089327146827e-29, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]"
9,4,No Feedback,"[3.9658223536728765e-13, 0.0, 5.949900838686517e-08, 0.0, 3.042938672940455e-37, 1.0, 0.0]","[[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.041004732946454e-18, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 8.296618367533315e-16, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 3.7034237764145086e-37], [0.0, 0.0, 1.0, 4.719465382592711e-25, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 8.265113593530771e-11, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 6.193566018291196e-19, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.998090701058964e-32], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 7.289424055686999e-13, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]]"
